"選択された条件"
"表示銘柄件数：543件"

"ティッカー","名称","連動指標","市場","ファクトシート","コメント"
"MGC","バンガード 米国メガキャップETF","CRSP US メガキャップ・インデックス","NYSE Arca","https://advisors.vanguard.com/iippdf/pdfs/FS3137R.pdf","米国株式市場における投資可能企業、時価総額上位約70%をカバーする、CRSP US メガキャップ・インデックスに連動したパフォーマンスを目指します。"
"MGK","バンガード 米国メガキャップ・グロースETF","CRSP US メガキャップ・グロース・インデックス","NYSE Arca","https://advisors.vanguard.com/iippdf/pdfs/FS3138R.pdf","米国株式市場における投資可能企業、時価総額上位約70%のうち、グロース株をカバーする、CRSP US メガキャップ・グロース・インデックスに連動したパフォーマンスを目指します。"
"MGV","バンガード 米国メガキャップ・バリューETF","CRSP US メガキャップ・バリュー・インデックス","NYSE Arca","https://institutional.vanguard.com/iippdf/pdfs/FS3139R.pdf","米国株式市場における投資可能企業、時価総額上位約70%のうち、バリュー株をカバーする、CRSP US メガキャップ・バリュー・インデックスに連動したパフォーマンスを目指します。"
"MILN","グローバルX ミレニアル世代 ETF","Indxx ミレニアルズ セマティック インデックス","NASDAQ","https://globalxetfs.co.jp/content/files/MILN-factsheet-JPN-1.pdf","Indxx ミレニアルズ セマティック インデックスに連動した成果を目指す。"
"MISL","ファーストトラスト Indxx 航空宇宙・防衛ETF","--","NYSE Arca","https://www.ftportfolios.com/Common/ContentFileLoader.aspx?ContentGUID=05a963d9-9f85-4f7a-ad98-9cf938002f94","航空宇宙・防衛に関連する事業活用に従事する米国企業から厳選し投資"
"MLPA","ｸﾞﾛｰﾊﾞﾙX MLP ETF","ソラクティブMLPインフラストラクチャー指数","NYSE Arca","https://www.globalxetfs.com/content/files/MLPA-factsheet.pdf","Solactive Uranium & Nuclear Components Indexの運用実績に連動する投資成果を目指す。ウランの採鉱および原子力関連の事業に従事する企業へのエクスポージャーを提供する。"
"MOAT","ヴァンエック モーニングスター ワイド モートETF","Morningstar Wide Moat Focus指数","CBOE","https://www.vaneck.com/us/en/investments/morningstar-wide-moat-etf-moat-fact-sheet.pdf","Morningstar Wide Moat Focus指数の運用成績に連動する投資成果を目指します。同指数はモーニングスターのエクイティ・リサーチに基づき、ルール・ベースの均等加重指数で、持続的競争力のある割安銘柄へのエクスポージャーを提供します。"
"MOO","ヴァンエック ベクトル アグリビジネスETF","DAXglobal アグリビジネス・インデックス","NYSE Arca","https://www.vaneck.com/us/en/investments/agribusiness-etf-moo-fact-sheet.pdf","アグリビジネスETFは、DAXglobalアグリビジネス・インデックスの価格と利回り（手数料と経費控除前）に連動するパフォーマンスを目指します。このインデックスは、売上高の50%以上がアグリビジネスからのものである世界中の企業へのエクスポージャーを提供します"
"MRAL","グラナイトS 2倍 ロング MARA デイリーETF","--","NASDAQ","https://graniteshares.com/media/1ncjtnpc/mral-graniteshares-2x-long-mara-daily-etf-factsheet.pdf","マラ ホールディングスの普通株式(NASDAQ: MARA)日次変動率の2 倍（200％）の投資成果を目指す。"
"MSFD","Direxion デイリー MSFT株 ベア 1倍ETF","--","NASDAQ","https://www.direxion.com/uploads/MSFU-MSFD-Fact-Sheet.pdf","マイクロソフト・コーポレーション普通株式の日々のパフォーマンスの-100％の日々の投資成果を追求する。"
"MSFL","グラナイトS 2倍 ロング MSFT デイリーETF","--","NASDAQ","https://graniteshares.com/media/cxrhgbzd/graniteshares-2x-long-msft-daily-etf.pdf","マイクロソフト普通株式の日次変化率の200％の投資成果を追求する。"
"MSFU","Direxion デイリー MSFT株 ブル 2倍 ETF","--","NASDAQ","https://www.direxion.com/uploads/MSFU-MSFD-Fact-Sheet.pdf","マイクロソフト・コーポレーション普通株式の日々のパフォーマンスの200％の日々の投資成果を追求する。"
"MSTU","TRex 2倍 ロング MSTR Daily Target ETF","--","CBOE","https://www.rexshares.com/wp-content/uploads/2024/09/t-rex-mstr-fact-sheet.pdf","マイクロストラテジー普通株式の日次変化率の200％の投資成果を追求する。"
"MSTZ","TRex 2倍 インバース MSTR Daily Target ETF","--","CBOE","https://www.rexshares.com/wp-content/uploads/2024/09/t-rex-mstr-fact-sheet.pdf","マイクロストラテジー普通株式の日次変化率の-200％の投資成果を追求する。"
"MUD","Direxion デイリー MU株 ベア1倍 ETF","--","NASDAQ","https://www.direxion.com/uploads/MUU-MUD-Fact-Sheet.pdf","マイクロン テクノロジー(NASDAQ: MU)の普通株式の日々のパフォーマンスの-100％の日々の投資成果を追求する。"
"MULL","グラナイトS 2倍　ロング　MU　デイリーETF","--","NASDAQ","https://graniteshares.com/media/ywjmajxq/graniteshares-2x-long-mu-daily-etf.pdf","マイクロンテクノロジーズ普通株式の日次変化率の200％の投資成果を追求する。"
"MUU","Direxion デイリー MU ブル2倍 ETF","--","NASDAQ","https://www.direxion.com/uploads/MUU-MUD-Fact-Sheet.pdf","マイクロン テクノロジー(NASDAQ: MU)の日々のパフォーマンスの200％の日々の投資成果を追求する。"
"MVLL","グラナイトS 2倍 ロング MRVL デイリーETF","--","NASDAQ","https://graniteshares.com/media/2z3ct1hd/mvll-graniteshares-2x-long-mrvl-daily-etf-factsheet.pdf","マーベルテクノロジーグループの普通株式(NASDAQ: MRVL)日次変動率の2 倍（200％）の投資成果を目指す。"
"MXI","iシェアーズ グローバル素材 ETF","S&P グローバル素材セクター インデックス","NYSE Arca","http://jp.ishares.com/documents/ja/factsheet-ja/us/mxi-ishares-sp-global-materials-sector-index-fund.pdf","iシェアーズ S&P グローバル素材セクター・インデックス・ファンドは、スタンダード・アンド・プアーズが素材セクターにおいて重要なポジションにあると判断し、S&P グローバル素材セクター・インデックスによって代表される諸企業の株価、および利回り実績と同等水準の投資成果（報酬および経費控除前）を目指しています。当インデックスはスタンダード・アンド・プアーズ・グローバル1200インデックスのサブセット指数です。 "
"NFTY","FT インド株NIFTY50均等加重ETF","NIFTY 50 Equal Weight 指数","NASDAQ","https://www.ftportfolios.jp/content/funds/etf/nfty/firsttrustjapanfactsheetinstitutional","インド株式市場を代表する50銘柄に、均等加重で投資するNIFTY50均等加重指数への連動を目指すETF。"
"NFXL","Direxion デイリー NFLX ブル2倍 ETF","--","NASDAQ","https://www.direxion.com/uploads/NFXL-NFXS-Fact-Sheet.pdf","ネットフリックス(NASDAQ: NFLX)の日々のパフォーマンスの200％の日々の投資成果を追求する。"
"NFXS","Direxion デイリー NFLX株 ベア1倍 ETF","--","NASDAQ","https://www.direxion.com/uploads/NFXL-NFXS-Fact-Sheet.pdf","ネットフリックス(NASDAQ: NFLX)の普通株式の日々のパフォーマンスの-100％の日々の投資成果を追求する。"
"NLR","ヴァンエック ベクトル ウラニウム＋原子力エネルギーETF","DAXグローバル原子力エネルギー指数","NYSE Arca","https://www.vaneck.com/us/en/investments/uranium-nuclear-energy-etf-nlr-fact-sheet.pdf","DAXグローバル原子力エネルギー指数にできるだけ連動する投資成果をあげることを目標とする。"
"NOBL","プロシェアーズ S&P500配当貴族ETF","S&Pディビデンド・アリストクラッツ指数","CBOE","https://www.proshares.com/globalassets/proshares/fact-sheet/prosharesfactsheetnobl.pdf","S&Pディビデンド・アリストクラッツ指数に連動する投資成果を目指します。"
"NUGT","Direxion デイリー 金鉱株 ブル2倍 ETF","NYSE Arca ゴールド マイナーズ インデックス","NYSE Arca","https://www.direxion.com/uploads/NUGT-DUST-Fact-Sheet.pdf","--"
"NVD","グラナイトS 2倍 ショート NVDA デイリーETF","--","NASDAQ","https://graniteshares.com/media/zkmbz3na/nvd-graniteshares-2x-short-nvda-daily-etf.pdf","エヌビディア（NASDAQ：NVDA）普通株式の日次変化率の-200％の投資成果を追求する。"
"NVDD","Direxion デイリー NVDA株 ベア1倍 ETF","--","NASDAQ","https://www.direxion.com/uploads/NVDU-NVDD-Fact-Sheet.pdf","エヌビディア（NASDAQ：NVDA）普通株式の日々のパフォーマンスの-100％の日々の投資成果を追求する。"
"NVDL","グラナイトS 2倍 ロング NVDA デイリー ETF","--","NASDAQ","https://graniteshares.com/media/c4bdtb0h/nvdl-graniteshares-2x-long-nvda-daily-etf.pdf","エヌビディア（NASDAQ：NVDA）普通株式の日々のパフォーマンスの200％の日々の投資成果を追求する。"
"NVDQ","TRex 2倍インバース NVDA Daily Target ETF","--","CBOE","https://www.rexshares.com/wp-content/uploads/2023/10/t-rex-nvda-factsheet.pdf","エヌビディア普通株式の日次変化率の-200％の投資成果を追求する。"
"NVDU","Direxion デイリー NVDA株 ブル2倍 ETF","--","NASDAQ","https://www.direxion.com/uploads/NVDU-NVDD-Fact-Sheet.pdf","エヌビディア（NASDAQ：NVDA）普通株式の日々のパフォーマンスの200％の日々の投資成果を追求する。"
"NVDX","TRex 2倍 ロング NVDA Daily Target ETF","--","CBOE","https://www.rexshares.com/wp-content/uploads/2023/10/t-rex-nvda-factsheet.pdf","エヌビディア普通株式の日次変化率の200％の投資成果を追求する。"
"NXTG","FT Indxx ネクストG ETF","Indxx5G & NextG テーマ指数","NASDAQ","https://www.firsttrust-teneo.jp/PDF/qreports/NXTG_Factsheet.pdf","グローバルの次世代通信システム関連銘柄を厳選して投資します。"
"OEF","iシェアーズ　S&P 100 ETF","S&P100","NYSE Arca","http://jp.ishares.com/documents/ja/factsheet-ja/us/oef-ishares-sp-100-etf.pdf","米国市場に上場する超大型株（メガ･キャップ）の動きをとらえる「S&P100」指数を連動対象とします。"
"OIH","ヴァンエック ベクトル石油サービスETF","ヴァンエック ベクトル米国上場石油サービス25指数","NYSE Arca","http://search.sbisec.co.jp/v3/ex/etf_OIH_150514.pdf","ヴァンエック ベクトル米国上場石油サービス25指数にできるだけ連動する投資成果をあげることを目標とする。"
"OPPJ","ウィズダムツリー日本オポチュニティー  ファンド","ウィズダムツリー ジャパン オポチュニティーズ インデックス","NASDAQ","https://www.wisdomtree.com/investments/-/media/us-media-files/documents/resource-library/fund-fact-sheets/international-equity/wisdomtree-factsheet-oppj.pdf","ウィズダムツリー ジャパン オポチュニティーズ インデックスの価格と利回りに連動することを目指します。"
"PAVE","グローバル X 米国インフラ関連 ETF","Indxx 米国 インフラストラクチャー開発 インデックス","CBOE","https://www.globalxetfs.com/content/files/PAVE-factsheet.pdf","原材料の生産、重機、エンジニアリング、建設など、米国におけるインフラ活動の増加から恩恵を受ける企業への投資を目指します。 "
"PBD","インベスコ グローバルクリーンエネルギー ETF","ワイルダーヒル・新エネルギー・ グローバル・イノベーション・インデックス","NYSE Arca","https://www.invesco.com/us-rest/contentdetail?contentId=3dd2fd05f0e21410VgnVCM100000c2f1bf0aRCRD&dnsName=us","ワイルダーヒル・新エネルギーグローバルイノベーション指数に連動する投資成績を目標としている海外ETFです。パワーシェアーズ・グローバル・クリーン・エネルギー・ポートフォリオは、従来のETFと異なる、インテリジェントETFであり、S&Pクリーンエネルギー指数などより高いパフォーマンスを目指し、運用されています。"
"PFF","iシェアーズ 優先株式 ＆ インカム証券 ETF","ICE 上場優先株式 ＆ ハイブリッド証券 インデックス","NASDAQ","https://www.blackrock.com/jp/individual/ja/literature/fact-sheet/pff-ishares-preferred-and-income-securities-etf-fund-fact-sheet-ja-jp.pdf","ICE 上場優先株式 ＆ ハイブリッド証券 インデックスに連動。米ドル建て優先株式・ハイブリッド証券を対象とした指数への連動を目指す。"
"PFFD","グローバルX 米国優先証券 ETF","ICE BofAML・ダイバーシファイド・コア・米国優先証券・インデックス","NYSE Arca","https://globalxetfs.co.jp/content/files/PFFD-factsheet_J.pdf","ICE BofAML・ダイバーシファイド・コア・米国優先証券・インデックスのパフォーマンス(手数料および経費控除前)に連動する投資成果を目指している"
"PFFV","グローバルＸ 米国変動金利優先証券 ETF","ICE 米国変動金利優先株インデックス","NYSE Arca","https://globalxetfs.co.jp/content/files/PFFV-factsheet_J.pdf","ICE 米国変動金利優先株インデックスに連動する運用実績を目指す。同指数は、米国の国内市場で発行された上場米国ドル建て優先証券および転換社債型優先証券のパフォーマンスに連動。"
"PIO","Invesco Global Water ETF インベスコ グローバル ウォーター ETF","ナスダックOMXグローバル・ウォーター・インデックス","NASDAQ","https://www.invesco.com/us-rest/contentdetail?contentId=b6f8e01e98630410VgnVCM10000046f1bf0aRCRD&dnsName=us","パリセーズ世界水事業指数に連動する投資成績を目標としている海外ETFです。"
"PPH","ヴァンエック ベクトル医薬品ETF","ヴァンエック ベクトル米国上場医薬品25指数","NASDAQ","https://www.vaneck.com/us/en/investments/pharmaceutical-etf-pph-fact-sheet.pdf","ヴァンエック ベクトル米国上場医薬品25指数にできるだけ連動する投資成果をあげることを目標とする。"
"PSK","SPDR ICE 優先証券ETF","ICE上場・固定＆調整型利付優先証券指数","NYSE Arca","https://www.ssga.com/library-content/products/factsheets/etfs/us/factsheet-us-en-psk.pdf","ICE Exchange-Listed Fixed & Adjustable Rate Preferred Securities Indexの価格と利回り実績（経費控除前）に連動する投資成果を目指します。"
"PTIR","グラナイトS 2倍 ロング パランティア テクノロジーズ デイリーETF","--","NASDAQ","https://graniteshares.com/media/xzoikied/graniteshares-2x-long-pltr-daily-etf.pdf","パランティア普通株式の日次変化率の200％の投資成果を追求する。"
"PXF","インベスコ FTSE RAFI 先進国市場（米国を除く）ETF","FTSE RAFI 先進国（米国を除く） インデックス","NYSE Arca","https://www.invesco.com/us-rest/contentdetail?contentId=ffbe66b451c41410VgnVCM100000c2f1bf0aRCRD&dnsName=us","FTSE RAF先進国（米国を除く）指数に連動する投資成績を目標としている海外ETFです。米国以外の先進国の大型株や中型株で構成されており、従来のETFと異なるインテリジェントETFで高いパフォーマンスを目指しています"
"QCLN","FT NDAQ グリーンエネルギー指数 ETF","ナスダック・クリーン・エッジ・グリーン・エナジー指数","NASDAQ","https://www.firsttrust-teneo.jp/PDF/qreports/QCLN_Factsheet.pdf","ナスダック・クリーン・エッジ米国リキッド・シリーズ・インデックスに連動する投資成果を目指すETF"
"QCML","グラナイトS 2倍 ロング QCOM デイリー ETF","--","NASDAQ","https://graniteshares.com/media/kj0f3pej/qcml-graniteshares-2x-long-qcom-daily-etf.pdf","クアルコム(NASDAQ: QCOM)普通の日次変動率の２倍（200％）を目指します。"
"QDIV","グローバルX 高配当・優良・米国株 ETF","S&P500クオリティ高配当インデックス","NYSE Arca","https://globalxetfs.co.jp/content/files/QDIV-factsheet_J.pdf","S&P500クオリティ高配当インデックスのパフォーマンス(手数料および経費控除前)に連動する投資成果を目指している。"
"QID","プロシェア　ウルトラショートQQQ","ナスダック100指数","NYSE Arca","https://www.proshares.com/globalassets/proshares/fact-sheet/prosharesfactsheetqid.pdf","ナスダック100指数の日次変動率の反対方向の2倍に連動する投資成果を目指す。"
"QLD","プロシェア　ウルトラQQQ","ナスダック100指数","NYSE Arca","https://www.proshares.com/globalassets/proshares/fact-sheet/prosharesfactsheetqld.pdf","ナスダック100指数の日次変動率の2倍に連動する投資成果を目指す。"
"QQQ","インベスコ QQQ トラスト シリーズ1 ETF","ＮＡＳＤＡＱ100指数","NASDAQ","https://www.invesco.com/us-rest/contentdetail?contentId=3a48e01e98630410VgnVCM10000046f1bf0aRCRD","米国ナスダック市場の大型株100銘柄から成るナスダック-100指数に連動。"
"QQQD","DRXデイリー マグニフィセント7 ベア1倍ETF","Indxx マグニフィセント7 指数","NYSE Arca","https://www.direxion.com/uploads/QQQU-QQQD-Fact-Sheet.pdf","Indxx マグニフィセント7 指数の日々のパフォーマンスの-100％の日々の投資成果を追求する。"
"QQQE","Direxion NASDAQ-100 均等型インデックス ETF","NASDAQ-100 均等加重指数","NASDAQ","https://www.direxion.com/uploads/QQQE-Fact-Sheet.pdf","NASDAQ-100 均等加重指数に連動する投資成果を追求する。"
"QQQJ","インベスコ ＮＡＳＤＡＱ ネクスト１００ ＥＴＦ","ナスダック・ネクスト・ジェネレーション100トータルリターン指数","NASDAQ","https://www.invesco.com/us-rest/contentdetail?contentId=1d4d8e58e0737710VgnVCM1000006e36b50aRCRD&dnsName=us","NASDAQネクスト・ジェネレーション100インデックス（金融を除くNASDAQ上場銘柄のうちNASDAQ-100インデックス以外の時価総額上位100銘柄で構成）を対象とするETF。同信託の投資目的は同指数の価格・利回り実績に連動する投資成果を目指す。"
"QQQM","インベスコ ＮＡＳＤＡＱ １００ ＥＴＦ","ナスダック100トータルリターン指数","NASDAQ","https://www.invesco.com/us-rest/contentdetail?contentId=5b4d8e58e0737710VgnVCM1000006e36b50aRCRD&dnsName=us","NASDAQ-100インデックス（金融を除くNASDAQ上場銘柄のうち時価総額上位100銘柄で構成）を対象とするETF。同ETFの投資目的は同指数の価格・利回り実績に連動する投資成果を目指す。"
"QQQS","インベスコ ＮＡＳＤＡＱ フューチャー２００ ＥＴＦ","ナスダック・イノベーターズ・コンプレッション・キャップ指数","NASDAQ","https://www.invesco.com/us-rest/contentdetail?contentId=0467c30b-aa9d-4449-81c9-14c422e2ae97&dnsName=us","NASDAQイノベーターズ・コンプリーション・キャップ・インデックス（金融を除くナスダック上場銘柄のうちNASDAQ-100インデックスとNASDAQネクスト・ジェネレーション100インデックス採用銘柄を除く、特許価値が最も高い小型株約200銘柄で構成）を対象とするETF。同信託の投資目的は同指数の価格・利回り実績に連動する投資成果を目指す。"
"QQQU","DRXデイリー マグニフィセント7 ブル2倍ETF","Indxx マグニフィセント7 指数","NYSE Arca","https://www.direxion.com/uploads/QQQU-QQQD-Fact-Sheet.pdf","Indxx マグニフィセント7 指数の日々のパフォーマンスの200％の日々の投資成果を追求する。"
"QRMI","グローバルＸ NASDAQ 100・リスク管理・インカム ETF","Nasdaq-100 マンスリー・ネット・クレジット・カラー・95-100・インデックス","NASDAQ","https://globalxetfs.co.jp/content/files/QRMI-factsheet_J.pdf","連動指数はNasdaq-100 マンスリー・ネット・クレジット・カラー・95-100・インデックス。カバード・コール・ファンドのインカム特性を投資家に提供しつつ、プロテクティブ・プットにより市場の大幅な下落リスクを軽減することを目指します。"
"QTEC","FT NDAQ100 テクノロジーセクター指数 ETF","NASDAQ 100テクノロジー・セクター指数","NASDAQ","https://www.firsttrust-teneo.jp/PDF/qreports/QTEC_Factsheet.pdf","NASDAQ 100テクノロジー・セクター指数への連動を目指す。2006年4月から運用開始。NASDAQ100のうち、テクノロジー・セクターの銘柄にイコールウェイトで投資する。"
"QYLD","グローバルX NASDAQ100・カバード・コール ETF","CBOE NASDAQ-100R・バイライト・V2・インデックス","NASDAQ","https://globalxetfs.co.jp/content/files/QYLD-factsheet_J.pdf","CBOE NASDAQ-100R・バイライト・V2・インデックスに連動する投資成果を目指します。"
"QYLG","グローバルＸ NASDAQ100 ｶﾊﾞｰﾄﾞ ｺｰﾙ 50 ETF","CBOE Nasdaq 100 ハーフ・バイライト V2 インデックス","NASDAQ","https://globalxetfs.co.jp/content/files/QYLG-factsheet_J.pdf","CBOE Nasdaq 100 ハーフ・バイライト V2 インデックスに連動する運用実績を目指す。"
"RBLU","T-REX 2 ロング ロブロックス デイリーターゲットETF","--","CBOE","https://www.rexshares.com/wp-content/uploads/2025/03/t-rex-rblu-fact-sheet.pdf","ロブロックス(NYSE:RBLX)の日次変動率の2 倍（200％）の投資成果を目指す。"
"RDTL","グラナイトS2倍 ロング RDDT デイリーETF","--","NASDAQ","https://graniteshares.com/media/rryf1hsq/rdtl-graniteshares-2x-long-rddt-daily-etf.pdf","レディット A(NYSE:RDDT)の日次変動率の2 倍（200％）の投資成果を目指す。"
"RDVI","FT Vest 増配アチーバーズ ターゲットインカムETF","--","CBOE","https://www.ftportfolios.com/Common/ContentFileLoader.aspx?ContentGUID=a028fcf6-2454-4976-8852-d633e5ca527f","Nasdaq US Rising Dividend Achiever Index と呼ばれる指数の価格および利回り（経費控除前）に概ね連動する投資成果を目指すETFです。"
"RDVY","FT 増配アチーバーズ ETF","ナスダック米国ライジング・ディビデンド・アチーバーズ指数","NASDAQ","https://www.firsttrust-teneo.jp/PDF/qreports/RDVY_Factsheet.pdf","米国上場の増配・増益傾向にある銘柄を厳選して５０社に投資します。"
"REKT","Drx デイリー Crypto Industry ベア1倍 ETF","--","NYSE Arca","https://www.direxion.com/uploads/LMBO-REKT-Fact-Sheet.pdf","ソラクティブ・ディストリビューテッド・レジャー・アンド・ディセントラライズド・ペイメント・テック・インデックス (Solactive Distributed Ledger&Decentralized Payment Tech Index の日々のパフォーマンスの-100％の日々の投資成果を追求する。"
"REMX","ヴァンエック ベクトル レアアース/戦略的金属ETF","ヴァンエック・べクトル・レアアース/戦略的金属インデックス","NYSE Arca","https://www.vaneck.com/us/en/investments/rare-earth-strategic-metals-etf-remx-fact-sheet.pdf","レアアース/戦略的金属ETFは、ヴァンエック・べクトル・レアアース/戦略的金属インデックスの価格と利回り（手数料や経費控除前）にできるだけ連動する運用実績を目指します。このインデックスは、ルールベースの修正時価総額加重型、浮動株調整インデックスで、主にレアアース/戦略的金属の採鉱、精製および生産に関連したさまざまな活動に主に従事する上場企業の全体的なパフォーマンスに連動する方法を投資家に提供するものです。レアアースや戦略的金属は、通常、貴金属や卑金属の生産時に副産物または二次金属として採掘される工業用金属です。現在、周期表の約49の元素が特定のレアアース金属を含むマイナーメタルとされています。"
"RLY","SPDR SSGA マルチ アセット リアル リターン ETF","アクティブ","NYSE Arca","https://www.ssga.com/library-content/products/factsheets/etfs/us/factsheet-us-en-rly.pdf","株式を上回るリターンを目指し、コモディティ、不動産、米国物価連動国債(TIPS)などに投資する。"
"RNRG","Global X 再生可能エネルギーETF","ベンチマーク指数（Indxx Renewable Energy Producers Index）","NASDAQ","https://globalxetfs.co.jp/content/files/RNRG-factsheet_J.pdf","ベンチマーク指数（Indxx Renewable Energy Producers Index）に連動した成果を目指す。"
"ROBN","T-REX 2X ロング ロビンフッド デイリーターゲットETF","--","CBOE","https://www.rexshares.com/wp-content/uploads/2025/01/t-rex-robn-fact-sheet.pdf","ロビンフッド マーケッツ(NASDAQ:HOOD)の日次変動率の2 倍（200％）の投資成果を目指す。"
"ROBO","ロボ・グローバル・ロボティクス＆オートメーション・インデックスETF","ストックス・グ ローバル・ロボティクス＆オートメーション・インデックス","NYSE Arca","https://f.hubspotusercontent40.net/hubfs/7764048/Factsheets/ETF/ROBO%20Global%20Robotics%20and%20Automation%20ETF%20Factsheet.pdf","ストックス・グ ローバル・ロボティクス＆オートメーション・インデックスに連動する投資成果を目指す。米国に本拠を置くIT・製造企業株を主に保有し、ロボットやオートメーション関連業界における企業のパフォーマンスに連動しているETF。"
"ROBT","FT ナスダック AI & ロボティックス ETF","Nasdaq CTA Artificial Intelligence and Robotics指数","NASDAQ","https://www.firsttrust-teneo.jp/PDF/qreports/ROBT_Factsheet.pdf","Nasdaq CTA Artificial Intelligence and Robotics指数への連動を目指す。コンシューマー・テクノロジー・アソシエーション（CTA）が定義する人工知能（AI）及びロボット工学のEnablers(実現企業）、Engagers（関連企業）、Enhancers（支援企業）に分類し、それぞれの項目への関与度合をランク付けし、各項目毎に上位30社にイコールウェイトで投資する。合計ウェイトは、Enabler60％、Engagers25%、Enhancers15%となるように調整する。"
"RSP","インベスコ Ｓ＆Ｐ ５００ 等ウェイト ＥＴＦ","SP500・イコール・ウェイト・USD・トータル・リターン指数","NYSE Arca","https://www.invesco.com/us-rest/contentdetail?contentId=e3fc7c23dbd92610VgnVCM1000006e36b50aRCRD&dnsName=us","S&P 500イコール・ウェイト・インデックス(S&P500採用の500銘柄を均等ウェイト加重する指数)を対象とするETF。四半期ごとにリバランスを行う。"
"RTH","ヴァンエック ベクトル小売ETF","ヴァンエック ベクトル米国上場小売25指数","NASDAQ","https://www.vaneck.com/us/en/investments/retail-etf-rth-fact-sheet.pdf","ヴァンエック ベクトル米国上場小売25指数にできるだけ連動する投資成果をあげることを目標とする。"
"RVNL","グラナイトS2倍 ロング RIVN デイリーETF","--","NASDAQ","https://graniteshares.com/media/eofll0x2/rvnl-graniteshares-2x-long-rivn-daily-etf.pdf","リビアン オートモーティブの普通株式（NASDAQ:RIVN）の1 日あたりの変動率の2 倍（200%）の投資成果を目指す。"
"RWR","SPDR ダウ ジョーンズREIT ETF","ダウ・ジョーンズ U.S.セレクト REIT 指数","NYSE Arca","https://www.ssga.com/library-content/products/factsheets/etfs/us/factsheet-us-en-rwr.pdf","ダウ・ジョーンズU.S.セレクトREIT指数の価格と利回りに、経費控除前で、連動する投資成果を上げることを目標とします。"
"RWX","SPDR ダウ ジョーンズ インターナショナル リアル エステートETF","ダウ・ジョーンズ・グローバル（除く米国）セレクト・リアル・エステート・セキュリティーズ 指数","NYSE Arca","https://www.ssga.com/library-content/products/factsheets/etfs/us/factsheet-us-en-rwx.pdf","ダウ・ジョーンズ・グローバル（除く米国）セレクト・リアル・エステート・セキュリティーズ指数の価格と利回りに、経費控除前で、連動する投資成果を上げることを目標とします。"
"RXI","iシェアーズ グローバル一般消費財 ETF","S&P グローバル1200一般消費財セクター キャップド指数","NYSE Arca","http://jp.ishares.com/documents/ja/factsheet-ja/us/rxi-ishares-sp-global-consumer-discretionary-sector-index-fund.pdf","iシェアーズ S&P グローバル一般消費財セクター・インデックス・ファンドは、スタンダード・アンド・プアーズが一般消費財セクターにおいて重要なポジションにあると判断し、S&P グローバル1200一般消費財セクター キャップド指数によって代表される諸企業の株価、および利回り実績と同等水準の投資成果（報酬および経費控除前）を目指しています。当インデックスは、スタンダード・アンド・プアーズ・グローバル1200インデックスのサブセット指数です。"
"RYLD","グローバルＸ Russell 2000・カバード・コール ETF","ラッセル2000インデックス","NYSE Arca","https://globalxetfs.co.jp/content/files/RYLD-factsheet_J.pdf","カバード・コール戦略で利益を生み出そうとするもので、Russell 2000インデックス構成銘柄へのエクスポージャーを購入し、同指数を対象としたコール・オプションを売却する。"
"SDIV","グローバルX スーパーディビィデンド-世界株式 ETF","ソラクティブ・グローバル・スーパーディビィデンドRインデックス","NYSE Arca","https://globalxetfs.co.jp/content/files/SDIV-factsheet-JPN-1.pdf","ソラクティブ・グローバル・スーパーディビィデンドRインデックスに連動する投資成果を目指します。"
"SDOW","プロシェア　ウルトラプロ　ショート　ダウ30","ダウ・ジョーンズ工業株価","NYSE Arca","https://www.proshares.com/globalassets/proshares/fact-sheet/prosharesfactsheetsdow.pdf","ダウ・ジョーンズ30指数（NYダウ）の日次変動率の反対方向の3倍に連動する投資成果を目指す。"
"SDVD","FT Vest 中小型株増配アチーバーズ ターゲットインカムETF","--","CBOE","https://www.ftportfolios.jp/content/funds/etf/sdvd/firsttrustjapanfactsheetinstitutional","米国中小型株を対象としたカバードコール戦略のアクティブ運用ETF。ラッセル2000指数の年間配当利回りを約8%上回ることを目指す。"
"SDVY","FT 中小型増配アチーバーズ ETF","Nasdaq US Small Mid Cap Rising Dividend Achievers?指数","NASDAQ","https://www.firsttrust-teneo.jp/PDF/qreports/SDVY_Factsheet.pdf","Nasdaq US Small Mid Cap Rising Dividend Achievers? Indexへの連動を目指す。本指数は、中型株・小型株のうち、直近12カ月の配当金が３年前、５年前と比較して上回っており、将来に向けて配当を出し続ける能力がある銘柄を抽出。5年間の配当金の増加、配当利回り、配当性向でランク付けし、抽出した100社にイコールウェイトで投資する。"
"SDY","SPDR S&P 米国高配当株式ETF","S&Pハイ・イールド・ディビデンド・アリストクラッツ指数","NYSE Arca","https://www.ssga.com/library-content/products/factsheets/etfs/us/factsheet-us-en-sdy.pdf","S&P ハイ・イールド・ディビデンド・アリストクラッツTM指数に、経費控除前で、連動する投資成果を上げることを目標とします。"
"SH","プロシェア　ショートS&P500","S&P 500 インデックス","NYSE Arca","https://www.proshares.com/globalassets/proshares/fact-sheet/prosharesfactsheetsh.pdf","S&P500指数の反対方向の日次変動率に連動する投資成果を目指す。"
